s,a,r,sp
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-11,1
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,-10,0
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,1,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-11,1
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-11,1
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-11,1
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-11,1
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,0,10
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,2,-10,0
0,3,0,10
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,0,10
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-10,0
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
0,3,-11,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,0
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-11,2
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,0,0
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-11,2
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,11
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-11,2
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,0
1,0,-21,1
1,0,0,0
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-11,2
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,0,0,0
1,0,0,0
1,0,-21,1
1,0,-21,1
1,0,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,0
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,-21,1
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,-11,2
1,1,0,11
1,1,0,0
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,1,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-11,2
1,2,0,0
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-11,2
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-21,1
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-11,2
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-21,1
1,2,-11,2
1,2,-11,2
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,-21,1
1,2,0,0
1,2,0,11
1,2,0,0
1,2,0,0
1,2,0,0
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,0
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-21,1
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,0
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-21,1
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,0
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,0,11
1,3,0,11
1,3,0,11
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-21,1
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,0
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-21,1
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,0,11
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
1,3,-11,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-11,1
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
2,0,-21,2
